sys_yes	行 的 呢
sys_yes	是 啊 哪
sys_yes	是 啊 呃
sys_yes	要 得 呃
sys_yes	行 吧 呀
sys_yes	是 对 啊
sys_yes	知道 呃
sys_yes	说 吧
sys_yes	对 的
sys_yes	好 嘞 了
sys_yes	我 好 再见
sys_no	不 可以
sys_yes	那 OK
sys_yes	能 的 啊
sys_yes	好 好 哈
sys_yes	OK 啦
chitchat	哎 拜拜
sys_yes	好 谢谢
sys_yes	可以 考虑
sys_yes	是 的 哪
sys_yes	好好 行
sys_yes	嗯 是 啊
sys_no	不 好 意思 不 感 兴趣
sys_yes	那 行 啊
sys_yes	好 行 呢
sys_no	没 有 没 有
chitchat	我 现在 在 上班
sys_no	唉 拜拜
sys_yes	恩 好
sys_yes	嗯 行 吧
sys_yes	行 好 麻烦
sys_yes	好 对 啊
sys_no	不 用
sys_yes	对 哎
chitchat	声音 太 轻
sys_yes	额 是 的
sys_yes	要得 好
sys_yes	应该 好好
sys_yes	应该 晓得
sys_yes	行 好 哦
sys_no	不 用 不 用 不 用 不 用
sys_yes	行行 再见
sys_yes	行 的 呃
sys_yes	要 得 喂
sys_yes	哦 对 啊
sys_yes	对 嗯
sys_yes	行 吧 吧
sys_no	没 有 空
sys_yes	好 行 好 的
chitchat	哦 拜拜
chitchat	听 不 见 吗
sys_yes	OK 啊
sys_no	不 感 兴趣
sys_yes	我 在
sys_yes	好 再见
sys_yes	可以 好
chitchat	我 在 开车 稍 等
sys_yes	额 是
sys_yes	嗯 行行
sys_yes	好 没 问题
sys_yes	额 好 嘞
sys_yes	知道 喂
sys_yes	行 的 啊
sys_yes	对 的 了
sys_yes	好 的 好 的 好 的
sys_yes	好 的 嗯
sys_yes	知道 了 OK
chitchat	喂 喂
sys_yes	啊 是 的
sys_yes	要 的 喂
sys_yes	嗯 没 关系
sys_yes	对 啊 哪
sys_yes	有 兴趣
sys_yes	晓得 嗯
sys_yes	对 啊 呢
sys_no	不 考虑
sys_yes	ok 嗯
sys_no	不 方便 那
sys_no	没 必要
sys_yes	好 谢谢
sys_yes	好好
sys_yes	要 的
sys_no	不 需要 了 不 需要
chitchat	我 现在 上班 没 时间
sys_yes	了解 一 下
sys_yes	知道 吧
sys_yes	好 晓得
sys_no	不必
sys_yes	好 好啦
sys_no	不 需要 有 需要 联系 你
sys_yes	好 的 额
sys_yes	恩 对 啊
sys_yes	ok 额
sys_yes	呃 行 啊
sys_yes	哎 行 吧
sys_yes	我 要 得
sys_no	接受 不 了
sys_no	不 方便 呀
sys_yes	好 嘞 恩
sys_no	没 想法
sys_no	不 用 了 不 用 了 我 现在 暂时 没 时间 去 学 这些
sys_yes	对 的 哈
sys_yes	是 的 麻烦
sys_yes	ok 哈
sys_yes	对 哪
sys_yes	对 了
sys_yes	额 知道
sys_no	你 不 打 这个 电话
sys_yes	唉 行 好
sys_no	现在 不 行
sys_no	不 可以 呢
sys_yes	说说 看
sys_yes	行 吧 哎
sys_yes	应该 行 的
sys_yes	行 吧 恩
sys_yes	要 的 谢谢
sys_yes	OK 吧
sys_yes	好 的 啦
sys_no	啊 挂 了
sys_yes	那 是 的
chitchat	你 讲 的 什么
sys_no	不 要 了 不 要 了
sys_yes	好 行 呃
sys_yes	能 的 唉
sys_yes	我 知道
sys_yes	好 行啦
sys_yes	恩 对 的
