sys_yes	行的呢
sys_yes	是啊哪
sys_yes	是啊呃
sys_yes	要得呃
sys_yes	行吧呀
sys_yes	是对啊
sys_yes	知道呃
sys_yes	说吧
sys_yes	对的
sys_yes	好嘞了
sys_yes	我好再见
sys_no	不可以
sys_yes	那OK
sys_yes	能的啊
sys_yes	好好哈
sys_yes	OK啦
chitchat	哎拜拜
sys_yes	好谢谢
sys_yes	可以考虑
sys_yes	是的哪
sys_yes	好好行
sys_yes	嗯是啊
sys_no	不好意思不感兴趣
sys_yes	那行啊
sys_yes	好行呢
sys_no	没有没有
chitchat	我现在在上班
sys_no	唉拜拜
sys_yes	恩好
sys_yes	嗯行吧
sys_yes	行好麻烦
sys_yes	好对啊
sys_no	不用
sys_yes	对哎
chitchat	声音太轻
sys_yes	额是的
sys_yes	要得好
sys_yes	应该好好
sys_yes	应该晓得
sys_yes	行好哦
sys_no	不用不用，不用，不用
sys_yes	行行再见
sys_yes	行的呃
sys_yes	要得喂
sys_yes	哦对啊
sys_yes	对嗯
sys_yes	行吧吧
sys_no	没有空
sys_yes	好行好的
chitchat	哦拜拜
chitchat	听不见吗
sys_yes	OK啊
sys_no	不感兴趣
sys_yes	我在
sys_yes	好再见
sys_yes	可以好
chitchat	我在开车稍等
sys_yes	额是
sys_yes	嗯行行
sys_yes	好没问题
sys_yes	额好嘞
sys_yes	知道喂
sys_yes	行的啊
sys_yes	对的了
sys_yes	好的，好的好的
sys_yes	好的嗯
sys_yes	知道了OK
chitchat	喂喂
sys_yes	啊是的
sys_yes	要的喂
sys_yes	嗯没关系
sys_yes	对啊哪
sys_yes	有兴趣
sys_yes	晓得嗯
sys_yes	对啊呢
sys_no	不考虑
sys_yes	ok嗯
sys_no	不方便那
sys_no	没必要
sys_yes	好谢谢
sys_yes	好好
sys_yes	要的
sys_no	不需要了，不需要
chitchat	我现在上班没时间
sys_yes	了解一下
sys_yes	知道吧
sys_yes	好晓得
sys_no	不必
sys_yes	好好啦
sys_no	不需要，有需要联系你
sys_yes	好的额
sys_yes	恩对啊
sys_yes	ok额
sys_yes	呃行啊
sys_yes	哎行吧
sys_yes	我要得
sys_no	接受不了
sys_no	不方便呀
sys_yes	好嘞恩
sys_no	没想法
sys_no	不用了，不用了，我现在暂时没时间去学这些
sys_yes	对的哈
sys_yes	是的麻烦
sys_yes	ok哈
sys_yes	对哪
sys_yes	对了
sys_yes	额知道
sys_no	你不打这个电话
sys_yes	唉行好
sys_no	现在不行
sys_no	不可以呢
sys_yes	说说看
sys_yes	行吧哎
sys_yes	应该行的
sys_yes	行吧恩
sys_yes	要的谢谢
sys_yes	OK吧
sys_yes	好的啦
sys_no	啊挂了
sys_yes	那是的
chitchat	你讲的什么
sys_no	不要了，不要了
sys_yes	好行呃
sys_yes	能的唉
sys_yes	我知道
sys_yes	好行啦
sys_yes	恩对的
sys_yes	我知道了啊，我等一下了解一下
sys_yes	好的麻烦
sys_no	没兴趣
sys_yes	行啊额
sys_yes	知道的
sys_yes	好嘞吧
chitchat	干嘛呢?
sys_yes	对啊唉
sys_yes	可以喂
sys_yes	OK哪
sys_yes	唉可以
sys_yes	应该对啊
sys_yes	行好哪
sys_yes	嗯要的
sys_no	不方便呃
sys_yes	好好哎
sys_yes	能啊
sys_yes	当然可以
sys_yes	对的唉
sys_yes	OK呢
